qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ wrunner realprog.txt hints.txt
TRACE tick=26 pid=3 pri=0 slice=0
TRACE tick=27 pid=3 pri=0 slice=1
TRACE tick=28 pid=3 pri=1 slice=0
TRACE tick=28 pid=3 pri=1 slice=0
wrunner: loaded 5 items, 3 hints
wrunner: spawn cat pid=4 priority=0
wrunner: spawn wc pid=5 priority=0
TRACE tick=29 pid=3 pri=1 slice=1
TRACE tick=30 pid=4 pri=0 slice=0
TRACE tick=30 pid=4 pri=0 slice=0
TRACE tick=30 pid=4 pri=0 slice=0
TRACE tick=30 pid=5 pri=0 slice=0
TRACE tick=30 pid=4 pri=0 slice=0
TRACE tick=30 pid=4 pri=0 slice=0
TRACE tick=30 pid=5 pri=0 slice=0
xTRACE tick=31 pid=4 pri=0 slice=0
vTRACE tick=31 pid=4 pri=0 slice=0
6TRACE tick=31 pid=4 pri=0 slice=0
 TRACE tick=31 pid=4 pri=0 slice=0
iTRACE tick=31 pid=4 pri=0 slice=0
sTRACE tick=31 pid=4 pri=0 slice=0
 TRACE tick=31 pid=4 pri=0 slice=0
aTRACE tick=31 pid=4 pri=0 slice=0
 TRACE tick=31 pid=4 pri=0 slice=0
rTRACE tick=32 pid=4 pri=0 slice=0
eTRACE tick=32 pid=4 pri=0 slice=0
-TRACE tick=32 pid=4 pri=0 slice=0
iTRACE tick=32 pid=4 pri=0 slice=0
mTRACE tick=32 pid=4 pri=0 slice=0
pTRACE tick=32 pid=4 pri=0 slice=0
lTRACE tick=32 pid=4 pri=0 slice=0
eTRACE tick=32 pid=4 pri=0 slice=0
mTRACE tick=32 pid=4 pri=0 slice=0
eTRACE tick=33 pid=4 pri=0 slice=0
nTRACE tick=33 pid=4 pri=0 slice=0
tTRACE tick=33 pid=4 pri=0 slice=0
aTRACE tick=33 pid=4 pri=0 slice=0
tTRACE tick=33 pid=4 pri=0 slice=0
iTRACE tick=33 pid=4 pri=0 slice=0
oTRACE tick=33 pid=4 pri=0 slice=0
nTRACE tick=34 pid=4 pri=0 slice=0
 TRACE tick=34 pid=4 pri=0 slice=0
oTRACE tick=34 pid=4 pri=0 slice=0
fTRACE tick=34 pid=4 pri=0 slice=0
 TRACE tick=34 pid=4 pri=0 slice=0
DTRACE tick=34 pid=4 pri=0 slice=0
enTRACE tick=34 pid=4 pri=0 slice=0
nTRACE tick=34 pid=4 pri=0 slice=0
iTRACE tick=34 pid=4 pri=0 slice=0
sTRACE tick=35 pid=4 pri=0 slice=0
 TRACE tick=35 pid=4 pri=0 slice=0
RTRACE tick=35 pid=4 pri=0 slice=0
iTRACE tick=35 pid=4 pri=0 slice=0
tTRACE tick=35 pid=4 pri=0 slice=0
cTRACE tick=35 pid=4 pri=0 slice=0
hTRACE tick=35 pid=4 pri=0 slice=0
iTRACE tick=35 pid=4 pri=0 slice=0
